EnergyPlantId,TrashId
5de0cef6fc13ae30bd000000,5de0ca47fc13ae156100005a
5de0cef6fc13ae30bd000014,5de0ca47fc13ae1561000055
5de0cef6fc13ae30bd000005,5de0ca47fc13ae1561000053
5de0cef6fc13ae30bd000011,5de0ca47fc13ae1561000056
5de0cef6fc13ae30bd000025,5de0ca47fc13ae1561000055
5de0cef6fc13ae30bd000001,5de0ca47fc13ae1561000058
5de0cef6fc13ae30bd000013,5de0ca47fc13ae1561000042
5de0cef6fc13ae30bd000027,5de0ca47fc13ae1561000035
5de0cef6fc13ae30bd000026,5de0ca47fc13ae156100005f
5de0cef6fc13ae30bd00001d,5de0ca47fc13ae1561000062
5de0cef6fc13ae30bd000019,5de0ca47fc13ae156100004a
5de0cef6fc13ae30bd000012,5de0ca47fc13ae156100003b
5de0cef6fc13ae30bd000000,5de0ca47fc13ae1561000043
5de0cef6fc13ae30bd00001f,5de0ca47fc13ae1561000048
5de0cef6fc13ae30bd000011,5de0ca47fc13ae1561000063
5de0cef6fc13ae30bd000011,5de0ca47fc13ae1561000042
5de0cef6fc13ae30bd000016,5de0ca47fc13ae1561000049
5de0cef6fc13ae30bd00001b,5de0ca47fc13ae156100005c
5de0cef6fc13ae30bd000002,5de0ca47fc13ae156100003a
5de0cef6fc13ae30bd00000b,5de0ca47fc13ae1561000061
5de0cef6fc13ae30bd00000d,5de0ca47fc13ae1561000038
5de0cef6fc13ae30bd000016,5de0ca47fc13ae1561000049
5de0cef6fc13ae30bd00002f,5de0ca47fc13ae1561000033
5de0cef6fc13ae30bd000029,5de0ca47fc13ae156100004f
5de0cef6fc13ae30bd000010,5de0ca47fc13ae156100004e
5de0cef6fc13ae30bd000019,5de0ca47fc13ae156100005b
5de0cef6fc13ae30bd000008,5de0ca47fc13ae156100004f
5de0cef6fc13ae30bd00001e,5de0ca47fc13ae1561000040
5de0cef6fc13ae30bd00002b,5de0ca47fc13ae1561000062
5de0cef6fc13ae30bd00001e,5de0ca47fc13ae156100004c
5de0cef6fc13ae30bd000016,5de0ca47fc13ae1561000053
5de0cef6fc13ae30bd000003,5de0ca47fc13ae1561000038
5de0cef6fc13ae30bd000013,5de0ca47fc13ae156100004f
5de0cef6fc13ae30bd000014,5de0ca47fc13ae156100004e
5de0cef6fc13ae30bd000006,5de0ca47fc13ae1561000056
5de0cef6fc13ae30bd000005,5de0ca47fc13ae156100004e
5de0cef6fc13ae30bd00001f,5de0ca47fc13ae156100005a
5de0cef6fc13ae30bd000023,5de0ca47fc13ae1561000062
5de0cef6fc13ae30bd000005,5de0ca47fc13ae156100005b
5de0cef6fc13ae30bd00001c,5de0ca47fc13ae1561000046
5de0cef6fc13ae30bd00002b,5de0ca47fc13ae1561000051
5de0cef6fc13ae30bd00002d,5de0ca47fc13ae1561000057
5de0cef6fc13ae30bd00002e,5de0ca47fc13ae156100003d
5de0cef6fc13ae30bd000011,5de0ca47fc13ae156100003c
5de0cef6fc13ae30bd000006,5de0ca47fc13ae1561000045
5de0cef6fc13ae30bd000017,5de0ca47fc13ae1561000037
5de0cef6fc13ae30bd000008,5de0ca47fc13ae156100004d
5de0cef6fc13ae30bd000029,5de0ca47fc13ae1561000059
5de0cef6fc13ae30bd000006,5de0ca47fc13ae156100004e
5de0cef6fc13ae30bd000007,5de0ca47fc13ae156100004c
